run_key,experiment_name,forget_id,policy,FA,EA,RA,ERB,IdentityLeak@1,IdentityLeak@4,IdentityLeak@8,mean_target_similarity,max_target_similarity,RA_hard,RA_random,hard_neighbor_retention_gap,forget_sample_count,retain_sample_count,total_sample_count,detector_success_rate,fallback_sample_count,attempted_sample_count,evaluated_sample_count,dropped_no_face_count,det_thresh,use_fallback,after_dir,threshold
expanded_1490/random_hard,expanded_1490,1490,random_hard,0.0,100.0,86.52482269503547,92.77566539923954,0.0,0.0,0.0,0.24593342592318854,0.28074514865875244,73.61111111111111,100.0,-26.388888888888886,24,141,165,100.0,0,168,165,3,0.1,False,outputs/expanded_1490/random_hard_gen,0.14650361239910126
expanded_1490/median_hard,expanded_1490,1490,median_hard,0.0,100.0,86.52482269503547,92.77566539923954,0.0,0.0,0.0,0.28020781216522056,0.3095666170120239,73.61111111111111,100.0,-26.388888888888886,24,141,165,100.0,0,168,165,3,0.1,False,outputs/expanded_1490/median_hard_gen,0.14650361239910126
expanded_1490/least_sim_hard,expanded_1490,1490,least_sim_hard,0.0,100.0,86.52482269503547,92.77566539923954,0.0,0.0,0.0,0.24593342592318854,0.28074514865875244,73.61111111111111,100.0,-26.388888888888886,24,141,165,100.0,0,168,165,3,0.1,False,outputs/expanded_1490/least_sim_hard_gen,0.14650361239910126
expanded_1629/nearest_hard,expanded_1629,1629,nearest_hard,0.0,100.0,88.48920863309353,93.89312977099236,0.0,0.0,0.0,0.6314006373286247,0.6622698307037354,76.47058823529412,100.0,-23.529411764705884,24,139,163,100.0,0,168,163,5,0.1,False,outputs/expanded_1629/nearest_hard_gen,0.14650361239910126
expanded_1629/random_hard,expanded_1629,1629,random_hard,0.0,100.0,88.48920863309353,93.89312977099236,0.0,0.0,0.0,0.3791266866028309,0.4330729842185974,76.47058823529412,100.0,-23.529411764705884,24,139,163,100.0,0,168,163,5,0.1,False,outputs/expanded_1629/random_hard_gen,0.14650361239910126
expanded_1629/median_hard,expanded_1629,1629,median_hard,0.0,100.0,88.48920863309353,93.89312977099236,0.0,0.0,0.0,0.3791266866028309,0.4330729842185974,76.47058823529412,100.0,-23.529411764705884,24,139,163,100.0,0,168,163,5,0.1,False,outputs/expanded_1629/median_hard_gen,0.14650361239910126
expanded_1629/least_sim_hard,expanded_1629,1629,least_sim_hard,0.0,100.0,88.48920863309353,93.89312977099236,0.0,0.0,0.0,0.2833131408939759,0.3462032079696655,76.47058823529412,100.0,-23.529411764705884,24,139,163,100.0,0,168,163,5,0.1,False,outputs/expanded_1629/least_sim_hard_gen,0.14650361239910126
expanded_1630/nearest_hard,expanded_1630,1630,nearest_hard,100.0,0.0,66.66666666666666,0.0,100.0,100.0,100.0,0.7399154021626427,0.7630879878997803,44.285714285714285,88.73239436619718,-44.4466800804829,21,141,162,100.0,0,168,162,6,0.1,False,outputs/expanded_1630/nearest_hard_gen,0.14650361239910126
expanded_1630/random_hard,expanded_1630,1630,random_hard,0.0,100.0,67.37588652482269,80.50847457627118,0.0,0.0,0.0,0.24370610093077025,0.29146987199783325,45.714285714285715,88.73239436619718,-43.01810865191147,24,141,165,100.0,0,168,165,3,0.1,False,outputs/expanded_1630/random_hard_gen,0.14650361239910126
expanded_1630/median_hard,expanded_1630,1630,median_hard,0.0,100.0,66.66666666666666,80.0,0.0,0.0,0.0,0.4441460818052292,0.4732721149921417,44.285714285714285,88.73239436619718,-44.4466800804829,24,141,165,100.0,0,168,165,3,0.1,False,outputs/expanded_1630/median_hard_gen,0.14650361239910126
expanded_1630/least_sim_hard,expanded_1630,1630,least_sim_hard,0.0,100.0,67.37588652482269,80.50847457627118,0.0,0.0,0.0,0.24370610093077025,0.29146987199783325,45.714285714285715,88.73239436619718,-43.01810865191147,24,141,165,100.0,0,168,165,3,0.1,False,outputs/expanded_1630/least_sim_hard_gen,0.14650361239910126
expanded_1819/nearest_hard,expanded_1819,1819,nearest_hard,75.0,25.0,92.02898550724638,39.31888544891641,100.0,100.0,100.0,0.7170257369677225,0.7700298428535461,83.33333333333334,100.0,-16.666666666666657,24,138,162,100.0,0,168,162,6,0.1,False,outputs/expanded_1819/nearest_hard_gen,0.14650361239910126
