group,policy,recognizer,FA,RA,ERB,IdentityLeak@8,selection_target_similarity,mean_target_similarity,evaluated_sample_count
1630,random_hard,arcface,0.0,67.37588652482269,80.50847457627118,0.0,0.2509503066539764,0.2437061009307702,165
1630,random_hard,adaface,0.0,69.50354609929079,82.00836820083683,0.0,0.2509503066539764,0.3246012280384699,165
1630,median_hard,arcface,0.0,66.66666666666666,80.0,0.0,0.3633449673652649,0.4441460818052292,165
1630,median_hard,adaface,0.0,69.50354609929079,82.00836820083683,0.0,0.3633449673652649,0.4779261586566766,165
1630,least_sim_hard,arcface,0.0,67.37588652482269,80.50847457627118,0.0,0.2509503066539764,0.2437061009307702,165
1630,least_sim_hard,adaface,0.0,69.50354609929079,82.00836820083683,0.0,0.2509503066539764,0.3246012280384699,165
1819,nearest_hard,arcface,75.0,92.02898550724638,39.31888544891641,100.0,0.9082443714141846,0.7170257369677225,162
1819,nearest_hard,adaface,87.5,87.68115942028986,21.88065099457505,100.0,0.9082443714141846,0.7344527666767439,162
1819,random_hard,arcface,75.0,92.02898550724638,39.31888544891641,100.0,0.9082443714141846,0.7170257369677225,162
1819,random_hard,adaface,87.5,87.68115942028986,21.88065099457505,100.0,0.9082443714141846,0.7344527666767439,162
1819,median_hard,arcface,0.0,91.97080291970804,95.8174904942966,0.0,0.2693089842796325,0.2233842791368564,161
1819,median_hard,adaface,0.0,88.32116788321169,93.79844961240312,0.0,0.2693089842796325,0.241749208420515,161
1819,least_sim_hard,arcface,0.0,92.02898550724638,95.8490566037736,0.0,0.2493828237056732,0.2437734920531511,154
1819,least_sim_hard,adaface,0.0,88.40579710144928,93.84615384615384,0.0,0.2493828237056732,0.2097346913069486,154
2877,nearest_hard,arcface,100.0,84.17266187050359,0.0,100.0,0.8656468391418457,0.7343965743978819,163
2877,nearest_hard,adaface,100.0,83.45323741007195,0.0,100.0,0.8656468391418457,0.7631948764125506,163
2877,random_hard,arcface,100.0,84.17266187050359,0.0,100.0,0.8656468391418457,0.7343965743978819,163
2877,random_hard,adaface,100.0,83.45323741007195,0.0,100.0,0.8656468391418457,0.7631948764125506,163
2877,median_hard,arcface,0.0,84.17266187050359,91.40625,0.0,0.3224891424179077,0.2481061642368634,163
2877,median_hard,adaface,0.0,83.45323741007195,90.98039215686276,0.0,0.3224891424179077,0.3729862086474895,163
2877,least_sim_hard,arcface,0.0,84.28571428571429,91.47286821705428,0.0,0.2944827675819397,0.2397563078751166,164
2877,least_sim_hard,adaface,0.0,83.57142857142857,91.05058365758757,0.0,0.2944827675819397,0.2866493637363116,164
3077,nearest_hard,arcface,0.0,98.61111111111111,99.3006993006993,0.0,0.9116132259368896,0.74136916299661,168
