run_key,experiment_name,forget_id,policy,candidate_index,candidate_identity,similarity_to_forget,similarity_rank_ascending,selected
expanded_1629/median_hard,expanded_1629,1629,median_hard,1,1630,0.8942027688026428,3,False
expanded_1629/median_hard,expanded_1629,1629,median_hard,2,2953,0.36802545189857483,2,True
expanded_1629/median_hard,expanded_1629,1629,median_hard,3,6217,0.3220369517803192,1,False
expanded_1629/least_sim_hard,expanded_1629,1629,least_sim_hard,1,1630,0.8942027688026428,3,False
expanded_1629/least_sim_hard,expanded_1629,1629,least_sim_hard,2,2953,0.36802545189857483,2,False
expanded_1629/least_sim_hard,expanded_1629,1629,least_sim_hard,3,6217,0.3220369517803192,1,True
expanded_1630/nearest_hard,expanded_1630,1630,nearest_hard,1,1629,0.9016630053520203,3,True
expanded_1630/nearest_hard,expanded_1630,1630,nearest_hard,2,2953,0.3633449673652649,2,False
expanded_1630/nearest_hard,expanded_1630,1630,nearest_hard,3,6217,0.25095030665397644,1,False
expanded_1630/random_hard,expanded_1630,1630,random_hard,1,1629,0.9016630053520203,3,False
expanded_1630/random_hard,expanded_1630,1630,random_hard,2,2953,0.3633449673652649,2,False
expanded_1630/random_hard,expanded_1630,1630,random_hard,3,6217,0.25095030665397644,1,True
expanded_1630/median_hard,expanded_1630,1630,median_hard,1,1629,0.9016630053520203,3,False
expanded_1630/median_hard,expanded_1630,1630,median_hard,2,2953,0.3633449673652649,2,True
expanded_1630/median_hard,expanded_1630,1630,median_hard,3,6217,0.25095030665397644,1,False
expanded_1630/least_sim_hard,expanded_1630,1630,least_sim_hard,1,1629,0.9016630053520203,3,False
expanded_1630/least_sim_hard,expanded_1630,1630,least_sim_hard,2,2953,0.3633449673652649,2,False
expanded_1630/least_sim_hard,expanded_1630,1630,least_sim_hard,3,6217,0.25095030665397644,1,True
expanded_1819/nearest_hard,expanded_1819,1819,nearest_hard,1,1818,0.9082443714141846,3,True
expanded_1819/nearest_hard,expanded_1819,1819,nearest_hard,2,102,0.24938282370567322,1,False
expanded_1819/nearest_hard,expanded_1819,1819,nearest_hard,3,3848,0.26930898427963257,2,False
expanded_1819/random_hard,expanded_1819,1819,random_hard,1,1818,0.9082443714141846,3,True
expanded_1819/random_hard,expanded_1819,1819,random_hard,2,102,0.24938282370567322,1,False
expanded_1819/random_hard,expanded_1819,1819,random_hard,3,3848,0.26930898427963257,2,False
expanded_1819/median_hard,expanded_1819,1819,median_hard,1,1818,0.9082443714141846,3,False
expanded_1819/median_hard,expanded_1819,1819,median_hard,2,102,0.24938282370567322,1,False
expanded_1819/median_hard,expanded_1819,1819,median_hard,3,3848,0.26930898427963257,2,True
expanded_1819/least_sim_hard,expanded_1819,1819,least_sim_hard,1,1818,0.9082443714141846,3,False
expanded_1819/least_sim_hard,expanded_1819,1819,least_sim_hard,2,102,0.24938282370567322,1,True
expanded_1819/least_sim_hard,expanded_1819,1819,least_sim_hard,3,3848,0.26930898427963257,2,False
expanded_2877/nearest_hard,expanded_2877,2877,nearest_hard,1,1116,0.8656468391418457,3,True
expanded_2877/nearest_hard,expanded_2877,2877,nearest_hard,2,4600,0.2944827675819397,1,False
expanded_2877/nearest_hard,expanded_2877,2877,nearest_hard,3,7237,0.3224891424179077,2,False
expanded_2877/random_hard,expanded_2877,2877,random_hard,1,1116,0.8656468391418457,3,True
expanded_2877/random_hard,expanded_2877,2877,random_hard,2,4600,0.2944827675819397,1,False
expanded_2877/random_hard,expanded_2877,2877,random_hard,3,7237,0.3224891424179077,2,False
expanded_2877/median_hard,expanded_2877,2877,median_hard,1,1116,0.8656468391418457,3,False
expanded_2877/median_hard,expanded_2877,2877,median_hard,2,4600,0.2944827675819397,1,False
expanded_2877/median_hard,expanded_2877,2877,median_hard,3,7237,0.3224891424179077,2,True
expanded_2877/least_sim_hard,expanded_2877,2877,least_sim_hard,1,1116,0.8656468391418457,3,False
expanded_2877/least_sim_hard,expanded_2877,2877,least_sim_hard,2,4600,0.2944827675819397,1,True
expanded_2877/least_sim_hard,expanded_2877,2877,least_sim_hard,3,7237,0.3224891424179077,2,False
expanded_3077/nearest_hard,expanded_3077,3077,nearest_hard,1,3078,0.9116132259368896,3,True
expanded_3077/nearest_hard,expanded_3077,3077,nearest_hard,2,5240,0.27057909965515137,1,False
expanded_3077/nearest_hard,expanded_3077,3077,nearest_hard,3,4367,0.31274858117103577,2,False
expanded_3077/random_hard,expanded_3077,3077,random_hard,1,3078,0.9116132259368896,3,False
expanded_3077/random_hard,expanded_3077,3077,random_hard,2,5240,0.27057909965515137,1,False
expanded_3077/random_hard,expanded_3077,3077,random_hard,3,4367,0.31274858117103577,2,True
expanded_3077/median_hard,expanded_3077,3077,median_hard,1,3078,0.9116132259368896,3,False
expanded_3077/median_hard,expanded_3077,3077,median_hard,2,5240,0.27057909965515137,1,False
expanded_3077/median_hard,expanded_3077,3077,median_hard,3,4367,0.31274858117103577,2,True
expanded_3077/least_sim_hard,expanded_3077,3077,least_sim_hard,1,3078,0.9116132259368896,3,False
expanded_3077/least_sim_hard,expanded_3077,3077,least_sim_hard,2,5240,0.27057909965515137,1,True
expanded_3077/least_sim_hard,expanded_3077,3077,least_sim_hard,3,4367,0.31274858117103577,2,False
expanded_3078/nearest_hard,expanded_3078,3078,nearest_hard,1,3077,0.9200803637504578,3,True
expanded_3078/nearest_hard,expanded_3078,3078,nearest_hard,2,5240,0.3013828694820404,2,False
